Adj Close,Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
22857.765625,22857.765625,22864.251953125,22765.568359375,22840.796875,0
22858.328125,22858.328125,22870.337890625,22797.083984375,22855.978515625,0
22893.318359375,22893.318359375,22909.501953125,22847.1796875,22855.1484375,0
22861.8046875,22861.8046875,22890.263671875,22858.869140625,22890.263671875,0
22862.1171875,22862.1171875,22874.23046875,22831.37890625,22859.744140625,0
22811.490234375,22811.490234375,22876.634765625,22811.490234375,22864.33984375,32851968
22836.01953125,22836.01953125,22865.125,22789.78125,22811.580078125,158156800
22964.65234375,22964.65234375,22970.19921875,22831.412109375,22836.1953125,199002112
22904.79296875,22904.79296875,22984.0546875,22877.017578125,22967.376953125,0
22916.3671875,22916.3671875,22944.982421875,22905.12890625,22909.0,0
22860.8515625,22860.8515625,22915.84375,22860.8515625,22915.84375,0
22896.26953125,22896.26953125,22896.26953125,22851.3984375,22862.25,0
22923.814453125,22923.814453125,22926.375,22874.431640625,22891.890625,0
23093.845703125,23093.845703125,23093.845703125,22915.92578125,22921.763671875,663474176
23150.294921875,23150.294921875,23167.228515625,23080.984375,23097.470703125,350732288
23133.6640625,23133.6640625,23185.14453125,23113.515625,23148.70703125,0
23124.517578125,23124.517578125,23194.484375,23111.458984375,23133.8046875,112703488
23155.861328125,23155.861328125,23175.6796875,23110.09375,23122.8515625,0
23184.529296875,23184.529296875,23186.8359375,23137.81640625,23155.53515625,0
23172.80859375,23172.80859375,23186.796875,23114.263671875,23186.431640625,0
23116.26171875,23116.26171875,23176.634765625,23083.880859375,23172.708984375,0
22939.33984375,22939.33984375,23125.4609375,22884.88671875,23116.439453125,621959168
23188.658203125,23188.658203125,23225.021484375,22897.951171875,22939.14453125,399417344
23139.36328125,23139.36328125,23184.4609375,23100.556640625,23184.4609375,106780672
23095.427734375,23095.427734375,23151.828125,23053.23828125,23137.8359375,23357440
23133.88671875,23133.88671875,23166.1328125,23070.189453125,23095.353515625,43714560
23114.662109375,23114.662109375,23134.908203125,23098.31640625,23134.908203125,0
23124.640625,23124.640625,23124.640625,23076.84765625,23113.8359375,21141504
23141.2421875,23141.2421875,23152.44921875,23122.220703125,23126.60546875,0
23128.275390625,23128.275390625,23167.71484375,23128.275390625,23142.822265625,0
23071.306640625,23071.306640625,23127.89453125,23071.306640625,23127.89453125,0
23091.3359375,23091.3359375,23119.291015625,23052.35546875,23072.9296875,0
22989.939453125,22989.939453125,23087.8671875,22979.56640625,23084.267578125,222179328
23013.82421875,23013.82421875,23030.7421875,22960.455078125,22989.771484375,93704192
23016.994140625,23016.994140625,23026.380859375,22971.46875,23013.8046875,0
23075.4765625,23075.4765625,23094.9609375,23013.99609375,23016.28125,77869056
23073.53515625,23073.53515625,23100.53515625,23072.34765625,23072.75,0
23104.650390625,23104.650390625,23136.8828125,23042.431640625,23071.4609375,0
23116.509765625,23116.509765625,23142.109375,23060.513671875,23103.400390625,0
23005.1875,23005.1875,23114.951171875,22978.439453125,23114.951171875,60555264
22986.75390625,22986.75390625,23040.671875,22978.310546875,22997.091796875,0
23001.4140625,23001.4140625,23042.146484375,22964.869140625,22990.984375,0
23097.6796875,23097.6796875,23097.6796875,22970.6328125,23001.255859375,391512064
23395.919921875,23395.919921875,23425.71875,22877.75,23099.58984375,3253686272
23543.388671875,23543.388671875,23605.525390625,23370.76171875,23389.1015625,1692719104
23693.923828125,23693.923828125,23758.068359375,23544.861328125,23544.861328125,479547392
23713.59765625,23713.59765625,23764.5390625,23675.13671875,23692.369140625,0
23721.7578125,23721.7578125,23764.5390625,23710.150390625,23712.794921875,0
24158.6328125,24158.6328125,24158.6328125,23715.619140625,23720.82421875,1869010944
23982.064453125,23982.064453125,24167.2109375,23981.306640625,24157.884765625,800360448
23910.537109375,23910.537109375,23984.896484375,23874.12109375,23979.60546875,295577600
23884.85546875,23884.85546875,23936.337890625,23879.07421875,23911.146484375,149219328
23906.755859375,23906.755859375,23910.23046875,23864.65625,23886.69921875,152709120
23841.25390625,23841.25390625,23918.791015625,23841.25390625,23901.453125,222814208
23785.896484375,23785.896484375,23837.587890625,23731.138671875,23837.587890625,400216064
23785.857421875,23785.857421875,23829.98828125,23763.96875,23785.69140625,0
23815.525390625,23815.525390625,23847.203125,23785.548828125,23785.548828125,0
23829.234375,23829.234375,23829.234375,23775.953125,23815.81640625,62177280
23799.607421875,23799.607421875,23842.322265625,23792.365234375,23828.787109375,82540544
23825.130859375,23825.130859375,23845.447265625,23792.259765625,23798.224609375,0
23812.0,23812.0,23835.146484375,23790.484375,23828.310546875,144519168
23760.15234375,23760.15234375,23813.884765625,23748.666015625,23813.884765625,92684288
23697.970703125,23697.970703125,23906.009765625,23697.970703125,23760.9609375,1207996416
23844.84765625,23844.84765625,23872.1953125,23602.056640625,23678.095703125,1117575168
23821.712890625,23821.712890625,23875.1171875,23795.3359375,23845.091796875,877658112
23904.53515625,23904.53515625,23908.06640625,23805.6640625,23818.3359375,356368384
24065.15625,24065.15625,24091.53515625,23895.189453125,23899.529296875,973668352
23819.87890625,23819.87890625,24061.609375,23768.453125,24061.609375,0
23830.20703125,23830.20703125,23830.416015625,23786.58984375,23817.51171875,0
23610.623046875,23610.623046875,23881.955078125,23609.517578125,23829.26171875,0
23588.82421875,23588.82421875,23602.8984375,23484.734375,23587.869140625,239054848
23468.595703125,23468.595703125,23590.107421875,23468.595703125,23585.830078125,0
23565.34375,23565.34375,23581.611328125,23469.412109375,23469.412109375,0
