Datetime,Adj Close,Close,High,Low,Open,Volume
02/11/2023-01:00,21647.90625,21647.90625,21703.53906,21643.10352,21684.4082,0
02/11/2023-02:00,21669.15234,21669.15234,21683.19727,21647.15234,21650.91406,0
02/11/2023-03:00,21691.42578,21691.42578,21723.27734,21669.58203,21669.65039,0
02/11/2023-04:00,21695.55859,21695.55859,21700.88477,21681.91406,21690.5293,0
02/11/2023-05:00,21686.14453,21686.14453,21712.43945,21685.14258,21696.39258,0
02/11/2023-06:00,21677.43164,21677.43164,21692.26953,21674.6875,21686.30273,0
02/11/2023-07:00,21708.39453,21708.39453,21710.39258,21665.39258,21676.67773,0
02/11/2023-08:00,21708.42773,21708.42773,21718.25586,21697.83398,21707.44531,0
02/11/2023-09:00,21707.89258,21707.89258,21709.43359,21688.46875,21707.62305,0
02/11/2023-10:00,21688.29883,21688.29883,21709.07617,21675.00391,21708.75,0
02/11/2023-11:00,21699.81641,21699.81641,21699.81641,21683.15234,21688.01758,0
02/11/2023-12:00,21722.91211,21722.91211,21759.61719,21690.96484,21699.84961,0
02/11/2023-13:00,21765.03906,21765.03906,21767.87109,21713.60938,21721.98242,0
02/11/2023-14:00,21758.74414,21758.74414,21767.09375,21727.54297,21765.00195,0
02/11/2023-15:00,21747.56055,21747.56055,21762.1875,21739.59961,21760.54102,0
02/11/2023-16:00,21716.47656,21716.47656,21753.03711,21706.74805,21747.4043,0
02/11/2023-17:00,21706.65625,21706.65625,21713.98047,21691.77734,21712.16992,0
02/11/2023-18:00,21675.74609,21675.74609,21737.79492,21657.53125,21707.89258,0
02/11/2023-19:00,21689.82617,21689.82617,21690.49805,21667.05273,21672.3418,0
02/11/2023-20:00,21685.76172,21685.76172,21718.9707,21674.41797,21689.08594,0
02/11/2023-21:00,21829.80078,21829.80078,21834.33594,21686.73633,21690.50977,0
02/11/2023-22:00,21839.6543,21839.6543,21864.36133,21805.61914,21829.87891,0
02/11/2023-23:00,21872.92188,21872.92188,21890.18164,21829.13086,21839.62109,0
02/12/2023-00:00,21833.64648,21833.64648,21879.07031,21833.33398,21870.90234,0
02/12/2023-01:00,21819.57422,21819.57422,21840.47461,21809.18359,21833.28516,0
02/12/2023-02:00,21821.6582,21821.6582,21825.77148,21801.57031,21818.62305,0
02/12/2023-03:00,21804.36328,21804.36328,21829.36719,21804.36328,21823.62305,0
02/12/2023-04:00,21792.46484,21792.46484,21809.0332,21786.26172,21803.26758,0
02/12/2023-05:00,21816.80273,21816.80273,21816.80273,21793.97852,21793.97852,0
02/12/2023-06:00,21824.46875,21824.46875,21827.52148,21813.29492,21815.52539,0
02/12/2023-07:00,21815.32227,21815.32227,21824.94922,21813.46484,21824.94922,0
02/12/2023-08:00,21819.22656,21819.22656,21848.94141,21813.08008,21815.12109,0
02/12/2023-09:00,21913.47656,21913.47656,21915.14063,21818.40234,21818.40234,362774528
