rounded_time,sentiment_score_textblob,sentiment_score_vader,Adj Close,Close,High,Low,Open,Volume,price_indicator
2023-01-31 00:00:00,0.1423358585858586,0.16555833333333334,22857.76563,22857.76563,22864.25195,22765.56836,22840.79688,0,16.96875
2023-01-31 01:00:00,0.1291706834248851,0.17860840336134454,22858.32813,22858.32813,22870.33789,22797.08398,22855.97852,0,0.5625
2023-01-31 02:00:00,0.1644935064935065,0.18691666666666668,22893.31836,22893.31836,22909.50195,22847.17969,22855.14844,0,34.99022999999943
2023-01-31 03:00:00,0.09438666426166425,0.15818666666666667,22861.80469,22861.80469,22890.26367,22858.86914,22890.26367,0,-31.513670000000275
2023-01-31 04:00:00,0.1068548404210169,0.23543025210084034,22862.11719,22862.11719,22874.23047,22831.37891,22859.74414,0,0.3125
2023-01-31 05:00:00,0.16340101160413661,0.23333416666666668,22811.49023,22811.49023,22876.63477,22811.49023,22864.33984,32851968,-50.62696000000142
2023-01-31 06:00:00,0.16460550887021475,0.19354957983193277,22836.01953,22836.01953,22865.125,22789.78125,22811.58008,158156800,24.529300000001967
2023-01-31 07:00:00,0.1347302414021164,0.18613083333333333,22964.65234,22964.65234,22970.19922,22831.41211,22836.19531,199002112,128.63280999999915
2023-01-31 08:00:00,0.16304024640159095,0.2327739495798319,22904.79297,22904.79297,22984.05469,22877.01758,22967.37695,0,-59.859370000001945
2023-01-31 09:00:00,0.08739231601731601,0.1481375,22916.36719,22916.36719,22944.98242,22905.12891,22909.0,0,11.574220000002242
2023-01-31 10:00:00,0.18589666606541608,0.2570866666666667,22860.85156,22860.85156,22915.84375,22860.85156,22915.84375,0,-55.51563000000169
2023-01-31 11:00:00,0.13947122409569887,0.23871008403361346,22896.26953,22896.26953,22896.26953,22851.39844,22862.25,0,35.41797000000224
2023-01-31 12:00:00,0.14030287247474746,0.22040749999999998,22923.81445,22923.81445,22926.375,22874.43164,22891.89063,0,27.544920000000275
2023-01-31 13:00:00,0.22820497896128147,0.2872436974789916,23093.8457,23093.8457,23093.8457,22915.92578,22921.76367,663474176,170.03125
2023-01-31 14:00:00,0.1393965980906953,0.21425916666666664,23150.29492,23150.29492,23167.22852,23080.98438,23097.4707,350732288,56.449219999998604
2023-01-31 15:00:00,0.15233826864078964,0.22180504201680673,23133.66406,23133.66406,23185.14453,23113.51563,23148.70703,0,-16.63086000000112
2023-01-31 16:00:00,0.19933863936988935,0.27300833333333335,23124.51758,23124.51758,23194.48438,23111.45898,23133.80469,112703488,-9.146479999999428
2023-01-31 17:00:00,0.14599915824915824,0.18608750000000002,23155.86133,23155.86133,23175.67969,23110.09375,23122.85156,0,31.34375
2023-01-31 18:00:00,0.1734334946099652,0.24947142857142857,23184.5293,23184.5293,23186.83594,23137.81641,23155.53516,0,28.667969999998604
2023-01-31 19:00:00,0.20308216390091388,0.2976933333333333,23172.80859,23172.80859,23186.79688,23114.26367,23186.43164,0,-11.72070999999778
2023-01-31 20:00:00,0.1213248898044066,0.23905714285714286,23116.26172,23116.26172,23176.63477,23083.88086,23172.70898,0,-56.546870000001945
2023-01-31 21:00:00,0.13872191300762726,0.25021666666666664,22939.33984,22939.33984,23125.46094,22884.88672,23116.43945,621959168,-176.92187999999805
2023-01-31 22:00:00,0.1501047228234728,0.3089591666666667,23188.6582,23188.6582,23225.02148,22897.95117,22939.14453,399417344,249.31836000000112
2023-01-31 23:00:00,0.11231108504007663,0.23187058823529413,23139.36328,23139.36328,23184.46094,23100.55664,23184.46094,106780672,-49.294920000000275
2023-02-01 00:00:00,0.12538812036178107,0.26189,23095.42773,23095.42773,23151.82813,23053.23828,23137.83594,23357440,-43.93555000000197
2023-02-01 01:00:00,0.12589513077958456,0.23056302521008404,23133.88672,23133.88672,23166.13281,23070.18945,23095.35352,43714560,38.458989999999176
2023-02-01 02:00:00,0.1778938492063492,0.24209,23114.66211,23114.66211,23134.9082,23098.31641,23134.9082,0,-19.224609999997483
2023-02-01 03:00:00,0.09839002976190475,0.21765666666666666,23124.64063,23124.64063,23124.64063,23076.84766,23113.83594,21141504,9.978520000000572
2023-02-01 04:00:00,0.13619737288854936,0.17894873949579831,23141.24219,23141.24219,23152.44922,23122.2207,23126.60547,0,16.601559999999154
2023-02-01 05:00:00,0.1352035473785474,0.18997083333333334,23128.27539,23128.27539,23167.71484,23128.27539,23142.82227,0,-12.966800000001967
2023-02-01 06:00:00,0.09064132755374876,0.23710252100840334,23071.30664,23071.30664,23127.89453,23071.30664,23127.89453,0,-56.96875
2023-02-01 07:00:00,0.16019615800865802,0.1769425,23091.33594,23091.33594,23119.29102,23052.35547,23072.92969,0,20.029300000001967
2023-02-01 08:00:00,0.11878994666048236,0.16938666666666666,22989.93945,22989.93945,23087.86719,22979.56641,23084.26758,222179328,-101.39648999999918
2023-02-01 09:00:00,0.1358813949822353,0.2332579831932773,23013.82422,23013.82422,23030.74219,22960.45508,22989.77148,93704192,23.884769999996934
